Organization,CanteenCode,Date,Students,Staff,OtherGuests,Total,EnrolledStudents,Comments
Sala kommun,19,2010-01-01,,,,,,
Sala kommun,19,2010-01-02,,,,,,
Sala kommun,19,2010-01-03,,,,,,
Sala kommun,19,2010-01-04,5,,,5,,
Sala kommun,19,2010-01-05,5,,,5,,
Sala kommun,19,2010-01-06,,,,,,
Sala kommun,19,2010-01-07,7,,,7,,
Sala kommun,19,2010-01-08,7,,,7,,
Sala kommun,19,2010-01-09,,,,,,
Sala kommun,19,2010-01-10,,,,,,
Sala kommun,19,2010-01-11,17,,,17,,
Sala kommun,19,2010-01-12,17,,,17,,
Sala kommun,19,2010-01-13,12,,,12,,
Sala kommun,19,2010-01-14,16,,,16,,
Sala kommun,19,2010-01-15,8,,,8,,
Sala kommun,19,2010-01-16,,,,,,
Sala kommun,19,2010-01-17,,,,,,
Sala kommun,19,2010-01-18,11,,,11,,
Sala kommun,19,2010-01-19,9,,,9,,
Sala kommun,19,2010-01-20,12,,,12,,
Sala kommun,19,2010-01-21,13,,,13,,
Sala kommun,19,2010-01-22,12,,,12,,
Sala kommun,19,2010-01-23,,,,,,
Sala kommun,19,2010-01-24,,,,,,
Sala kommun,19,2010-01-25,12,,,12,,
Sala kommun,19,2010-01-26,9,,,9,,
Sala kommun,19,2010-01-27,7,,,7,,
Sala kommun,19,2010-01-28,6,,,6,,
Sala kommun,19,2010-01-29,9,,,9,,
Sala kommun,19,2010-01-30,,,,,,
Sala kommun,19,2010-01-31,,,,,,
Sala kommun,19,2010-02-01,,,,,,
Sala kommun,19,2010-02-02,14,,,14,,
Sala kommun,19,2010-02-03,13,,,13,,
Sala kommun,19,2010-02-04,14,,,14,,
Sala kommun,19,2010-02-05,11,,,11,,
Sala kommun,19,2010-02-06,,,,,,
Sala kommun,19,2010-02-07,,,,,,
Sala kommun,19,2010-02-08,13,,,13,,
Sala kommun,19,2010-02-09,15,,,15,,
Sala kommun,19,2010-02-10,14,,,14,,
Sala kommun,19,2010-02-11,14,,,14,,
Sala kommun,19,2010-02-12,12,,,12,,
Sala kommun,19,2010-02-13,,,,,,
Sala kommun,19,2010-02-14,,,,,,
Sala kommun,19,2010-02-15,14,,,14,,
Sala kommun,19,2010-02-16,14,,,14,,
Sala kommun,19,2010-02-17,10,,,10,,
Sala kommun,19,2010-02-18,10,,,10,,
Sala kommun,19,2010-02-19,8,,,8,,
Sala kommun,19,2010-02-20,,,,,,
Sala kommun,19,2010-02-21,,,,,,
Sala kommun,19,2010-02-22,10,,,10,,
Sala kommun,19,2010-02-23,9,,,9,,
Sala kommun,19,2010-02-24,9,,,9,,
Sala kommun,19,2010-02-25,15,,,15,,
Sala kommun,19,2010-02-26,9,,,9,,
Sala kommun,19,2010-02-27,,,,,,
Sala kommun,19,2010-02-28,,,,,,
Sala kommun,19,2010-03-01,6,,,6,,
Sala kommun,19,2010-03-02,6,,,6,,
Sala kommun,19,2010-03-03,7,,,7,,
Sala kommun,19,2010-03-04,7,,,7,,
Sala kommun,19,2010-03-05,5,,,5,,
Sala kommun,19,2010-03-06,,,,,,
Sala kommun,19,2010-03-07,,,,,,
Sala kommun,19,2010-03-08,16,,,16,,
Sala kommun,19,2010-03-09,14,,,14,,
Sala kommun,19,2010-03-10,12,,,12,,
Sala kommun,19,2010-03-11,14,,,14,,
Sala kommun,19,2010-03-12,12,,,12,,
Sala kommun,19,2010-03-13,,,,,,
Sala kommun,19,2010-03-14,,,,,,
Sala kommun,19,2010-03-15,14,,,14,,
Sala kommun,19,2010-03-16,12,,,12,,
Sala kommun,19,2010-03-17,13,,,13,,
Sala kommun,19,2010-03-18,12,,,12,,
Sala kommun,19,2010-03-19,13,,,13,,
Sala kommun,19,2010-03-20,,,,,,
Sala kommun,19,2010-03-21,,,,,,
Sala kommun,19,2010-03-22,10,,,10,,
Sala kommun,19,2010-03-23,11,,,11,,
Sala kommun,19,2010-03-24,13,,,13,,
Sala kommun,19,2010-03-25,14,,,14,,
Sala kommun,19,2010-03-26,,,,,,
Sala kommun,19,2010-03-27,,,,,,
Sala kommun,19,2010-03-28,,,,,,
Sala kommun,19,2010-03-29,18,,,18,,
Sala kommun,19,2010-03-30,16,,,16,,
Sala kommun,19,2010-03-31,16,,,16,,
Sala kommun,19,2010-04-01,9,,,9,,
Sala kommun,19,2010-04-02,,,,,,
Sala kommun,19,2010-04-03,,,,,,
Sala kommun,19,2010-04-04,,,,,,
Sala kommun,19,2010-04-05,,,,,,
Sala kommun,19,2010-04-06,4,,,4,,
Sala kommun,19,2010-04-07,8,,,8,,
Sala kommun,19,2010-04-08,6,,,6,,
Sala kommun,19,2010-04-09,8,,,8,,
Sala kommun,19,2010-04-10,,,,,,
Sala kommun,19,2010-04-11,,,,,,
Sala kommun,19,2010-04-12,14,,,14,,
Sala kommun,19,2010-04-13,14,,,14,,
Sala kommun,19,2010-04-14,15,,,15,,
Sala kommun,19,2010-04-15,14,,,14,,
Sala kommun,19,2010-04-16,12,,,12,,
Sala kommun,19,2010-04-17,,,,,,
Sala kommun,19,2010-04-18,,,,,,
Sala kommun,19,2010-04-19,15,,,15,,
Sala kommun,19,2010-04-20,14,,,14,,
Sala kommun,19,2010-04-21,11,,,11,,
Sala kommun,19,2010-04-22,14,,,14,,
Sala kommun,19,2010-04-23,13,,,13,,
Sala kommun,19,2010-04-24,,,,,,
Sala kommun,19,2010-04-25,,,,,,
Sala kommun,19,2010-04-26,,,,,,Studiedag
Sala kommun,19,2010-04-27,,,,,,Studiedag
Sala kommun,19,2010-04-28,13,,,13,,
Sala kommun,19,2010-04-29,11,,,11,,
Sala kommun,19,2010-04-30,13,,,13,,
Sala kommun,19,2010-05-01,,,,,,
Sala kommun,19,2010-05-02,,,,,,
Sala kommun,19,2010-05-03,15,,,15,,
Sala kommun,19,2010-05-04,14,,,14,,
Sala kommun,19,2010-05-05,15,,,15,,
Sala kommun,19,2010-05-06,11,,,11,,
Sala kommun,19,2010-05-07,15,,,15,,
Sala kommun,19,2010-05-08,,,,,,
Sala kommun,19,2010-05-09,,,,,,
Sala kommun,19,2010-05-10,17,,,17,,
Sala kommun,19,2010-05-11,14,,,14,,
Sala kommun,19,2010-05-12,14,,,14,,
Sala kommun,19,2010-05-13,,,,,,
Sala kommun,19,2010-05-14,,,,,,
Sala kommun,19,2010-05-15,,,,,,
Sala kommun,19,2010-05-16,,,,,,
Sala kommun,19,2010-05-17,19,,,19,,
