Organization,CanteenCode,Date,Students,Staff,OtherGuests,Total,EnrolledStudents,Comments
Sala kommun,1,2010-01-01,,,,,45,
Sala kommun,1,2010-01-02,,,,,45,
Sala kommun,1,2010-01-03,,,,,45,
Sala kommun,1,2010-01-04,4,4,,8,45,
Sala kommun,1,2010-01-05,6,4,,10,45,
Sala kommun,1,2010-01-06,,4,,4,45,
Sala kommun,1,2010-01-07,7,4,,11,45,
Sala kommun,1,2010-01-08,6,4,,10,45,
Sala kommun,1,2010-01-09,,,,,45,
Sala kommun,1,2010-01-10,,,,,45,
Sala kommun,1,2010-01-11,43,10,,53,45,
Sala kommun,1,2010-01-12,43,10,,53,45,
Sala kommun,1,2010-01-13,45,8,,53,45,
Sala kommun,1,2010-01-14,45,8,,53,45,
Sala kommun,1,2010-01-15,45,8,,53,45,
Sala kommun,1,2010-01-16,,,,,45,
Sala kommun,1,2010-01-17,,,,,45,
Sala kommun,1,2010-01-18,40,8,,48,45,
Sala kommun,1,2010-01-19,38,9,,47,45,
Sala kommun,1,2010-01-20,37,7,,44,45,
Sala kommun,1,2010-01-21,38,9,,47,45,
Sala kommun,1,2010-01-22,38,10,,48,45,
Sala kommun,1,2010-01-23,,,,,45,
Sala kommun,1,2010-01-24,,,,,45,
Sala kommun,1,2010-01-25,37,10,,47,45,
Sala kommun,1,2010-01-26,43,11,,54,45,
Sala kommun,1,2010-01-27,40,8,,48,45,
Sala kommun,1,2010-01-28,37,9,,46,45,
Sala kommun,1,2010-01-29,38,9,,47,45,
Sala kommun,1,2010-01-30,,,,,45,
Sala kommun,1,2010-01-31,,,,,45,
Sala kommun,1,2010-02-01,41,7,,48,45,
Sala kommun,1,2010-02-02,42,13,,55,45,
Sala kommun,1,2010-02-03,42,8,,50,45,
Sala kommun,1,2010-02-04,39,9,,48,45,
Sala kommun,1,2010-02-05,38,10,,48,45,
Sala kommun,1,2010-02-06,,,,,45,
Sala kommun,1,2010-02-07,,,,,45,
Sala kommun,1,2010-02-08,34,10,,44,45,
Sala kommun,1,2010-02-09,40,11,,51,45,
Sala kommun,1,2010-02-10,41,8,,49,45,
Sala kommun,1,2010-02-11,40,9,,49,45,
Sala kommun,1,2010-02-12,43,10,,53,45,
Sala kommun,1,2010-02-13,,,,,45,
Sala kommun,1,2010-02-14,,,,,45,
Sala kommun,1,2010-02-15,44,10,,54,45,
Sala kommun,1,2010-02-16,41,11,,52,45,
Sala kommun,1,2010-02-17,39,8,,47,45,
Sala kommun,1,2010-02-18,41,9,,50,45,
Sala kommun,1,2010-02-19,42,8,,50,45,
Sala kommun,1,2010-02-20,,,,,45,
Sala kommun,1,2010-02-21,,,,,45,
Sala kommun,1,2010-02-22,43,10,,53,45,
Sala kommun,1,2010-02-23,42,10,,52,45,
Sala kommun,1,2010-02-24,38,10,,48,45,
Sala kommun,1,2010-02-25,42,10,,52,45,
Sala kommun,1,2010-02-26,41,10,,51,45,
Sala kommun,1,2010-02-27,,,,,45,
